,name,url,Main Story time,Main Story tag info,Main + Extra time,Main + Extra tag info,Completionist time,Completionist tag info,Solo time,Solo tag info,Co-Op time,Co-Op tag info,Vs. time,Vs. tag info
0,aplaguetaleinnocence,game?id=65080,10.5,100.0,12.5,100.0,16.0,100.0,,,,,,
1,thewitcher3wildhunt,game?id=10270,51.0,100.0,102.0,100.0,172.0,100.0,,,,,,
2,thelegendofzeldaskywardswordhd,game?id=88748,29.5,100.0,35.0,100.0,37.0,100.0,,,,,,
3,tombraider,game?id=10469,11.5,100.0,15.5,100.0,20.5,100.0,,,,,,
4,hollowknight,game?id=26286,26.0,100.0,39.5,100.0,57.5,100.0,,,,,,
5,grandtheftautov,game?id=4064,31.5,100.0,48.0,100.0,78.5,100.0,,,,,,
6,hades,game?id=62941,21.0,100.0,43.5,100.0,97.0,100.0,,,,,,
7,portal2,game?id=7231,8.5,100.0,13.5,100.0,21.0,100.0,,,,,,
8,bioshock,game?id=1065,12.0,100.0,15.5,100.0,22.0,100.0,,,,,,
9,portal,game?id=7230,3.0,100.0,5.0,100.0,9.5,100.0,,,,,,
10,bioshockinfinite,game?id=1068,11.5,100.0,15.5,100.0,27.0,100.0,,,,,,
11,thelegendofzeldabreathofthewild,game?id=38019,50.0,100.0,97.5,100.0,188.0,100.0,,,,,,
12,nierautomata,game?id=38029,21.0,100.0,37.5,100.0,61.5,100.0,,,,,,
13,reddeadredemption2,game?id=27100,49.0,100.0,78.5,100.0,170.0,100.0,,,,,,
14,yakuza0,game?id=43056,31.0,100.0,64.5,100.0,138.0,100.0,,,,,,
15,cyberpunk2077,game?id=2127,22.0,100.0,58.5,100.0,102.0,100.0,,,,,,
16,borderlands2,game?id=1274,30.5,100.0,53.5,100.0,126.0,100.0,,,,,,
17,horizonzerodawncompleteedition,game?id=53247,30.5,100.0,55.5,100.0,77.0,100.0,,,,,,
18,doom,game?id=2708,12.0,100.0,16.0,100.0,26.0,100.0,,,,,,
19,littlenightmares,game?id=39417,3.5,100.0,4.5,100.0,6.5,100.0,,,,,,
20,starwarsjedifallenorder,game?id=60145,17.0,100.0,21.5,100.0,30.5,100.0,,,,,,
21,bioshock2,game?id=1066,11.0,100.0,14.5,100.0,22.5,100.0,,,,,,
22,stardewvalley,game?id=34716,52.5,100.0,87.5,100.0,147.0,100.0,,,,,,
23,godofwar,game?id=38050,21.0,100.0,32.0,100.0,51.5,100.0,,,,,,
24,darksoulsiii,game?id=26803,32.0,100.0,47.5,100.0,95.0,100.0,,,,,,
25,riseofthetombraider,game?id=19266,13.5,100.0,21.5,100.0,35.0,100.0,,,,,,
26,finalfantasyviiremake,game?id=57686,33.5,100.0,42.0,100.0,85.0,100.0,,,,,,
27,lifeisstrange,game?id=21702,14.0,100.0,16.5,100.0,18.5,100.0,,,,,,
28,oriandtheblindforestdefinitiveedition,game?id=36755,8.5,100.0,11.0,100.0,12.0,100.0,,,,,,
29,undertale,game?id=30385,6.5,100.0,10.5,100.0,20.5,100.0,,,,,,
